threshold,precision,recall,f1,positive_rate
0.1,0.08072776937710356,1.0,0.14939519768911355,1.0
0.2,0.08091195019800206,1.0,0.14971052948980823,0.9977236882753687
0.3,0.08926675696452759,0.9822759315206445,0.16366046410174667,0.8883143911679106
0.4,0.11596908192238932,0.8884189325276939,0.20515801958094,0.618441376843406
0.5,0.16805324459234608,0.6712990936555892,0.26881200096782,0.3224720745329496
0.6,0.24674129734703265,0.32406847935548844,0.280167160020895,0.1060273482594345
0.7,0.40093603744149764,0.05176233635448137,0.09168747770246165,0.010422255824919109
